Nome,Quantidade de Episódios,Data de lançamento,Nota,Mais informações
Shingeki no Kyojin: The Final Season - Kanketsu-hen,2.0,2023.0,9.17,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen
Fullmetal Alchemist: Brotherhood,64.0,2009.0,9.11,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Bleach: Sennen Kessen-hen,13.0,2022.0,9.09,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
Steins;Gate,24.0,2011.0,9.08,https://myanimelist.net/anime/9253/Steins_Gate
Gintama°,51.0,2015.0,9.07,https://myanimelist.net/anime/28977/Gintama°
Kaguya-sama wa Kokurasetai: Ultra Romantic,13.0,2022.0,9.06,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
Shingeki no Kyojin Season 3 Part 2,10.0,2019.0,9.06,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
Gintama: The Final,1.0,2021.0,9.05,https://myanimelist.net/anime/39486/Gintama__The_Final
Gintama',51.0,2011.0,9.04,https://myanimelist.net/anime/9969/Gintama
Hunter x Hunter (2011),148.0,2011.0,9.04,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
Ginga Eiyuu Densetsu,110.0,1988.0,9.03,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
Gintama': Enchousen,13.0,2012.0,9.03,https://myanimelist.net/anime/15417/Gintama__Enchousen
Fruits Basket: The Final,13.0,2021.0,9.01,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
Gintama.,12.0,2017.0,8.99,https://myanimelist.net/anime/34096/Gintama
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,1.0,2022.0,8.95,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai
3-gatsu no Lion 2nd Season,22.0,2017.0,8.94,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
Clannad: After Story,24.0,2008.0,8.94,https://myanimelist.net/anime/4181/Clannad__After_Story
Gintama,201.0,2006.0,8.94,https://myanimelist.net/anime/918/Gintama
Koe no Katachi,1.0,2016.0,8.94,https://myanimelist.net/anime/28851/Koe_no_Katachi
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,1.0,2013.0,8.92,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
Bocchi the Rock!,12.0,2022.0,8.91,https://myanimelist.net/anime/47917/Bocchi_the_Rock
Code Geass: Hangyaku no Lelouch R2,25.0,2008.0,8.91,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
Violet Evergarden Movie,1.0,2020.0,8.91,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
Owarimonogatari 2nd Season,7.0,2017.0,8.89,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
